,winery,wine,year,rating,num_reviews,region,price,type,body,acidity,parker_score
0,Teso La Monja,Tinto,2013,4.9,58,Toro,995.0,Toro Red,5.0,3.0,
1,Artadi,Vina El Pison,2018,4.9,31,Vino de Espana,313.5,Tempranillo,4.0,2.0,
2,Vega Sicilia,Unico,2009,4.8,1793,Ribera del Duero,324.95,Ribera Del Duero Red,5.0,3.0,
3,Vega Sicilia,Unico,1999,4.8,1705,Ribera del Duero,692.96,Ribera Del Duero Red,5.0,3.0,
4,Vega Sicilia,Unico,1996,4.8,1309,Ribera del Duero,778.06,Ribera Del Duero Red,5.0,3.0,
5,Vega Sicilia,Unico,1998,4.8,1209,Ribera del Duero,490.0,Ribera Del Duero Red,5.0,3.0,
6,Vega Sicilia,Unico,2010,4.8,1201,Ribera del Duero,349.0,Ribera Del Duero Red,5.0,3.0,
7,Vega Sicilia,Unico,1995,4.8,926,Ribera del Duero,810.89,Ribera Del Duero Red,5.0,3.0,
8,Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Ribera del Duero,345.0,Ribera Del Duero Red,5.0,3.0,
9,Vega Sicilia,Unico,2011,4.8,630,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0,
10,Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Ribera del Duero,514.85,Ribera Del Duero Red,5.0,3.0,
11,Pago de Carraovejas,El Anejon,2016,4.8,454,Ribera del Duero,105.15,Ribera Del Duero Red,5.0,3.0,
12,Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Ribera del Duero,430.0,Ribera Del Duero Red,5.0,3.0,
13,Vega Sicilia,Unico,1970,4.8,417,Ribera del Duero,925.0,Ribera Del Duero Red,5.0,3.0,
14,Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Montilla-Moriles,350.0,Pedro Ximenez,5.0,1.0,
15,Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Ribera del Duero,166.18,Ribera Del Duero Red,5.0,3.0,
16,Vega Sicilia,Unico,1962,4.8,295,Ribera del Duero,1620.0,Ribera Del Duero Red,5.0,3.0,
17,Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Ribera del Duero,431.36,Ribera Del Duero Red,5.0,3.0,
18,Bodegas El Nido,El Nido,2018,4.8,217,Jumilla,195.627379550654,Red,4.0,3.0,
19,Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Ribera del Duero,824.43,Ribera Del Duero Red,5.0,3.0,
20,Valdespino,Toneles Moscatel,,4.8,174,Jerez-Xeres-Sherry,253.0,Sherry,4.0,3.0,
21,Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172,Ribera del Duero,570.51,Ribera Del Duero Red,5.0,3.0,
22,Dominio de Pingus,Pingus,2016,4.8,145,Ribera del Duero,1280.0,Ribera Del Duero Red,5.0,3.0,
23,Toro Albala,Don PX Convento Seleccion,1931,4.8,139,Montilla-Moriles,244.85,Pedro Ximenez,5.0,1.0,
24,Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125,Ribera del Duero,719.34,Ribera Del Duero Red,5.0,3.0,
25,Vega Sicilia,Unico,1979,4.8,118,Ribera del Duero,815.0,Ribera Del Duero Red,5.0,3.0,
26,Toro Albala,Don PX Pedro Ximenez,1946,4.8,103,Montilla-Moriles,285.86,Pedro Ximenez,5.0,1.0,
27,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87,Priorato,1410.26,Priorat Red,4.0,3.0,
28,Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87,Ribera del Duero,813.96,Ribera Del Duero Red,5.0,3.0,
29,Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,84,Ribera del Duero,435.75,Ribera Del Duero Red,5.0,3.0,
30,Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79,Toro,369.05,Toro Red,5.0,3.0,
31,Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Ribera del Duero,1182.77,Ribera Del Duero Red,5.0,3.0,
32,Toro Albala,Don PX Convento Seleccion,1929,4.8,69,Montilla-Moriles,227.95,Pedro Ximenez,5.0,1.0,
33,Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Ribera del Duero,999.0,Ribera Del Duero Red,5.0,3.0,
34,Vina Sastre,Pesus Ribera del Duero,2007,4.8,68,Ribera del Duero,360.0,Ribera Del Duero Red,5.0,3.0,
35,Teso La Monja,Tinto,2012,4.8,56,Toro,1190.0,Toro Red,5.0,3.0,
36,Dominio de Pingus,Pingus,2017,4.8,52,Ribera del Duero,1150.0,Ribera Del Duero Red,5.0,3.0,
37,Teso La Monja,Tinto,2009,4.8,50,Toro,950.0,Toro Red,5.0,3.0,
38,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40,Priorato,1021.21,Priorat Red,4.0,3.0,
39,Sierra Cantabria,Magico,2016,4.8,40,Rioja,544.5,Rioja Red,4.0,3.0,
40,Teso La Monja,Tinto,2011,4.8,32,Toro,1295.0,Toro Red,5.0,3.0,
41,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31,Priorato,992.2,Priorat Red,4.0,3.0,
42,Teso La Monja,Tinto,2015,4.8,28,Toro,1289.44,Toro Red,5.0,3.0,
43,Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26,Bierzo,1098.9,Red,4.0,3.0,
44,La Rioja Alta,Gran Reserva 890,1985,4.8,26,Rioja,215.34,Rioja Red,4.0,3.0,
45,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26,Priorato,1094.9,Priorat Red,4.0,3.0,
46,Vega Sicilia,Unico Reserva Especial Edicion,,4.7,12421,Ribera del Duero,423.5,Ribera Del Duero Red,5.0,3.0,
47,Vega Sicilia,Valbuena 5o,2010,4.7,5266,Ribera del Duero,239.5,Ribera Del Duero Red,5.0,3.0,
48,Vega Sicilia,Valbuena 5o,2014,4.7,4350,Ribera del Duero,175.5,Ribera Del Duero Red,5.0,3.0,
49,Vega Sicilia,Valbuena 5o,2006,4.7,3929,Ribera del Duero,194.0,Ribera Del Duero Red,5.0,3.0,
50,Vega Sicilia,Unico,2005,4.7,3437,Ribera del Duero,381.15,Ribera Del Duero Red,5.0,3.0,
51,Vega Sicilia,Unico,2004,4.7,3164,Ribera del Duero,584.43,Ribera Del Duero Red,5.0,3.0,
52,Vega Sicilia,Unico,2000,4.7,3127,Ribera del Duero,555.2,Ribera Del Duero Red,5.0,3.0,
53,Vega Sicilia,Unico,2007,4.7,2935,Ribera del Duero,445.28,Ribera Del Duero Red,5.0,3.0,
54,Vega Sicilia,Valbuena 5o,2015,4.7,2826,Ribera del Duero,189.0,Ribera Del Duero Red,5.0,3.0,
55,Vega Sicilia,Unico,2006,4.7,2765,Ribera del Duero,362.25,Ribera Del Duero Red,5.0,3.0,
56,Vega Sicilia,Unico,2008,4.7,2480,Ribera del Duero,289.0,Ribera Del Duero Red,5.0,3.0,
57,Vega Sicilia,Unico,2003,4.7,2419,Ribera del Duero,325.0,Ribera Del Duero Red,5.0,3.0,
58,Vega Sicilia,Valbuena 5o,2016,4.7,2177,Ribera del Duero,107.57,Ribera Del Duero Red,5.0,3.0,
59,Vega Sicilia,Valbuena 5o,2005,4.7,1892,Ribera del Duero,234.0,Ribera Del Duero Red,5.0,3.0,
60,Vega Sicilia,Unico,2002,4.7,1199,Ribera del Duero,500.94,Ribera Del Duero Red,5.0,3.0,
61,Vega Sicilia,Unico,1991,4.7,1141,Ribera del Duero,698.9,Ribera Del Duero Red,5.0,3.0,
62,Vega Sicilia,Unico,1994,4.7,940,Ribera del Duero,872.47,Ribera Del Duero Red,5.0,3.0,
63,Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935,Ribera del Duero,877.85,Ribera Del Duero Red,5.0,3.0,
64,Vega Sicilia,Unico,1990,4.7,690,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0,
65,Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685,Ribera del Duero,113.18,Ribera Del Duero Red,5.0,3.0,
66,Vega Sicilia,Unico,1989,4.7,675,Ribera del Duero,679.72,Ribera Del Duero Red,5.0,3.0,
67,Vega Sicilia,Unico,1987,4.7,593,Ribera del Duero,787.59,Ribera Del Duero Red,5.0,3.0,
68,Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560,Ribera del Duero,480.06,Ribera Del Duero Red,5.0,3.0,
69,Pago de Carraovejas,El Anejon,2015,4.7,543,Ribera del Duero,75.1,Ribera Del Duero Red,5.0,3.0,
70,Bodegas El Nido,El Nido,2014,4.7,511,Jumilla,154.9,Red,4.0,3.0,
71,Bodegas El Nido,El Nido,2013,4.7,476,Jumilla,145.0,Red,4.0,3.0,
72,Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Ribera del Duero,290.0,Ribera Del Duero Red,5.0,3.0,
73,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425,Rioja,795.0,Rioja White,3.0,3.0,
74,Bodegas El Nido,El Nido,2016,4.7,393,Jumilla,371.78009750522,Red,4.0,3.0,
75,Bodegas El Nido,El Nido,2008,4.7,347,Jumilla,134.19,Red,4.0,3.0,
76,Vinedos de Paganos,La Nieta,2015,4.7,312,Rioja,82.58,Rioja Red,4.0,3.0,
77,Vega Sicilia,Unico,1981,4.7,308,Ribera del Duero,873.86,Ribera Del Duero Red,5.0,3.0,
78,Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,303,Ribera del Duero,774.4,Ribera Del Duero Red,5.0,3.0,
79,Emilio Moro,Malleolus de Valderramiro,2016,4.7,300,Ribera del Duero,84.95,Ribera Del Duero Red,5.0,3.0,
80,Dominio de Pingus,Pingus,2001,4.7,295,Ribera del Duero,940.0,Ribera Del Duero Red,5.0,3.0,
81,Vega Sicilia,Unico,1986,4.7,292,Ribera del Duero,812.63,Ribera Del Duero Red,5.0,3.0,
82,Emilio Moro,Malleolus de Sanchomartin,2016,4.7,291,Ribera del Duero,116.54,Ribera Del Duero Red,5.0,3.0,
83,Dominio de Pingus,Pingus,2004,4.7,285,Ribera del Duero,1500.0,Ribera Del Duero Red,5.0,3.0,
84,Dominio de Pingus,Pingus,2006,4.7,280,Ribera del Duero,1190.0,Ribera Del Duero Red,5.0,3.0,
85,Bodegas El Nido,El Nido,2017,4.7,268,Jumilla,154.85,Red,4.0,3.0,
86,Teso La Monja,Alabaster,2016,4.7,264,Toro,135.0,Toro Red,5.0,3.0,
87,Quinta de la Quietud,La Mula de la Quietud,2015,4.7,256,Toro,63.75,Toro Red,5.0,3.0,
88,Vega Sicilia,Unico,1985,4.7,254,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0,
89,Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,251,Castilla y Leon,66.07,Tempranillo,4.0,2.0,
90,Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,243,Rioja,213.9,Rioja Red,4.0,3.0,
91,Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,240,Rioja,234.9,Rioja Red,4.0,3.0,
92,Vega Sicilia,Unico,1968,4.7,225,Ribera del Duero,2087.25,Ribera Del Duero Red,5.0,3.0,
93,Vinedos de Paganos,La Nieta,2018,4.7,220,Rioja,89.9,Rioja Red,4.0,3.0,
94,Vega Sicilia,Unico,1964,4.7,214,Ribera del Duero,1384.54,Ribera Del Duero Red,5.0,3.0,
95,Vega Sicilia,Unico,1982,4.7,205,Ribera del Duero,820.98,Ribera Del Duero Red,5.0,3.0,
96,Dominio de Pingus,Pingus,2015,4.7,203,Ribera del Duero,1250.0,Ribera Del Duero Red,5.0,3.0,
97,Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,196,Ribera del Duero,1500.0,Ribera Del Duero Red,5.0,3.0,
98,Dominio de Pingus,Pingus,1999,4.7,184,Ribera del Duero,1715.18,Ribera Del Duero Red,5.0,3.0,
99,Vega Sicilia,Unico,1974,4.7,173,Ribera del Duero,932.3,Ribera Del Duero Red,5.0,3.0,
100,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,171,Priorato,1372.14,Priorat Red,4.0,3.0,
101,Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137,Toro,78.9,Toro Red,5.0,3.0,
102,Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,136,Ribera del Duero,660.96,Ribera Del Duero Red,5.0,3.0,
103,Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,134,Ribera del Duero,154.0,Ribera Del Duero Red,5.0,3.0,
104,Vega Sicilia,Valbuena 5o,2017,4.7,133,Ribera del Duero,134.89,Ribera Del Duero Red,5.0,3.0,
105,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,132,Priorato,1422.96,Priorat Red,4.0,3.0,
106,Bodega Numanthia,Termanthia,2005,4.7,131,Toro,207.11,Toro Red,5.0,3.0,
107,Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,131,Ribera del Duero,340.49,Ribera Del Duero Red,5.0,3.0,
108,Emilio Moro,Clon De La Familia,2010,4.7,127,Ribera del Duero,317.63,Ribera Del Duero Red,5.0,3.0,
109,Alto Moncayo,Aquilon Garnacha,2011,4.7,123,Campo de Borja,108.9,Grenache,5.0,3.0,
110,Vega Sicilia,Unico,1983,4.7,118,Ribera del Duero,700.0,Ribera Del Duero Red,5.0,3.0,
111,Toro Albala,Don PX Convento Seleccion,1955,4.7,117,Montilla-Moriles,185.0,Pedro Ximenez,5.0,1.0,
112,Vega Sicilia,Unico,1980,4.7,116,Ribera del Duero,911.43,Ribera Del Duero Red,5.0,3.0,
113,Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,112,Rioja,1150.0,Rioja Red,4.0,3.0,
114,Vega Sicilia,Unico,1972,4.7,110,Ribera del Duero,698.95,Ribera Del Duero Red,5.0,3.0,
115,Bodega Numanthia,Termanthia,2004,4.7,108,Toro,2814.16,Toro Red,5.0,3.0,
116,Teso La Monja,Tinto,2010,4.7,102,Toro,1325.0,Toro Red,5.0,3.0,
117,Alvaro Palacios,Quinon de Valmira,2015,4.7,102,Rioja,527.26,Rioja Red,4.0,3.0,
118,Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,100,Ribera del Duero,1071.45,Ribera Del Duero Red,5.0,3.0,
119,Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,94,Priorato,299.0,Priorat Red,4.0,3.0,
120,Finca Moncloa,Tintilla de Rota,2016,4.7,92,Cadiz,43.13,,,,
121,Vega Sicilia,Unico,1953,4.7,89,Ribera del Duero,1207.6,Ribera Del Duero Red,5.0,3.0,
122,Bodegas Roda,Cirsion Rioja,2000,4.7,87,Rioja,175.0,Rioja Red,4.0,3.0,
123,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2015,4.7,82,Priorato,1252.35,Priorat Red,4.0,3.0,
124,Bodegas El Nido,El Nido,2019,4.7,80,Jumilla,145.9,Red,4.0,3.0,
125,Mas Doix,1902 Centenary Carignan Priorat,2013,4.7,74,Priorato,447.95,Priorat Red,4.0,3.0,
126,Vega Sicilia,Unico Reserva Especial Edicion,2006,4.7,72,Ribera del Duero,813.96,Ribera Del Duero Red,5.0,3.0,
127,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2005,4.7,67,Priorato,1410.26,Priorat Red,4.0,3.0,
128,Martinet,Cami Pesseroles,2006,4.7,65,Priorato,182.9,Priorat Red,4.0,3.0,
129,Recaredo,Turo d'en Mota,2007,4.7,64,Cava,99.0,Cava,2.0,3.0,
130,Vega Sicilia,Unico Reserva Especial Edicion,1986,4.7,63,Ribera del Duero,1113.2,Ribera Del Duero Red,5.0,3.0,
131,Clos Erasmus,Priorat,2007,4.7,60,Priorato,654.31,Priorat Red,4.0,3.0,
132,Pago de Los Capellanes,Parcela El Picon Tinto,2016,4.7,59,Ribera del Duero,134.26,Ribera Del Duero Red,5.0,3.0,
133,Barbadillo,Reliquia Palo Cortado Sherry,,4.7,58,Jerez Palo Cortado,380.0,Sherry,4.0,3.0,
134,La Rioja Alta,Gran Reserva 890,1982,4.7,57,Rioja,292.09,Rioja Red,4.0,3.0,
135,Gonzalez-Byass,Anada Palo Cortado 1987,1987,4.7,53,Jerez Palo Cortado,400.85,Sherry,4.0,3.0,
136,Clos Erasmus,Daphne Glorian Red,2007,4.7,51,Priorato,202.01,Red,4.0,3.0,
137,Toro Albala,Don PX Pedro Ximenez,1955,4.7,50,Montilla-Moriles,250.0,Pedro Ximenez,5.0,1.0,
138,Vinedos de Paganos,La Nieta,2019,4.7,49,Rioja,88.9,Rioja Red,4.0,3.0,
139,Bodegas Amaren,El Regollar,2016,4.7,49,Rioja,77.9,Rioja Red,4.0,3.0,
140,Toro Albala,Don PX Convento Seleccion,1958,4.7,47,Montilla-Moriles,191.61,Pedro Ximenez,5.0,1.0,
141,Teso La Monja,Alabaster,2018,4.7,45,Toro,123.89,Toro Red,5.0,3.0,
142,Alvear,Abuelo Diego Palo Cortado,,4.7,42,Montilla-Moriles,114.28,Pedro Ximenez,5.0,1.0,
143,Equipo Navazos,La Bota 78 de Oloroso,,4.7,41,Manzanilla,95.57,Sherry,4.0,3.0,
144,Morca,Touran,2018,4.7,41,Campo de Borja,93.95,Grenache,5.0,3.0,
145,Territorio Luthier,Luthier Gran Reserva,2012,4.7,40,Ribera del Duero,248.0,Ribera Del Duero Red,5.0,3.0,
146,Artadi,Vina El Pison,1995,4.7,39,Vino de Espana,397.0,Tempranillo,4.0,2.0,
147,Rafael Palacios,Sorte O Soro Val do Bibei,2019,4.7,37,Valdeorras,194.86,,,,
148,Recaredo,Reserva Particular de Recaredo Brut Nature,2011,4.7,35,Cava,65.05,Cava,2.0,3.0,
149,Bodegas Mauro,Terreus Paraje de Cueva Baja,2019,4.7,33,Castilla y Leon,86.9,Tempranillo,4.0,2.0,
150,Vina Sastre,Pesus Ribera del Duero,2004,4.7,32,Ribera del Duero,472.5,Ribera Del Duero Red,5.0,3.0,
151,Terra Remota,Usted,2010,4.7,31,Emporda,379.0,Red,4.0,3.0,
152,Dehesa de Los Canonigos,Gran Reserva,2001,4.7,31,Ribera del Duero,185.15,Ribera Del Duero Red,5.0,3.0,
153,Vina Sastre,Regina Vides Ribera del Duero,1998,4.7,30,Ribera del Duero,94.2,Ribera Del Duero Red,5.0,3.0,
154,Miguel Merino,La Loma,2018,4.7,29,Rioja Alta,46.0,Rioja Red,4.0,3.0,
155,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2016,4.7,28,Priorato,919.6,Priorat Red,4.0,3.0,
156,Gutierrez de la Vega,Recondita Armonia Monastrell Dulce,1987,4.7,27,Alicante,81.9,,,,
157,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,1942,4.7,27,Rioja,680.0,Rioja Red,4.0,3.0,
158,Vega Sicilia,Valbuena 5o,2011,4.6,6803,Ribera del Duero,218.0,Ribera Del Duero Red,5.0,3.0,
159,Vega Sicilia,Valbuena 5o,2012,4.6,5938,Ribera del Duero,177.0,Ribera Del Duero Red,5.0,3.0,
160,Vega Sicilia,Valbuena 5o,2008,4.6,5545,Ribera del Duero,187.3,Ribera Del Duero Red,5.0,3.0,
161,Vega Sicilia,Valbuena 5o,2007,4.6,5116,Ribera del Duero,195.59,Ribera Del Duero Red,5.0,3.0,
162,Vega Sicilia,Valbuena 5o,2013,4.6,4747,Ribera del Duero,135.0,Ribera Del Duero Red,5.0,3.0,
163,Vega Sicilia,Valbuena 5o,2009,4.6,4685,Ribera del Duero,225.2,Ribera Del Duero Red,5.0,3.0,
164,Alion,Ribera del Duero,2016,4.6,4516,Ribera del Duero,79.8,Ribera Del Duero Red,5.0,3.0,
165,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2017,4.6,3383,Ribera del Duero,116.187943627787,Ribera Del Duero Red,5.0,3.0,
166,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018,4.6,3239,Ribera del Duero,89.3,Ribera Del Duero Red,5.0,3.0,
167,Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2010,4.6,2416,Rioja,438.9,Rioja Red,4.0,3.0,
168,Alion,Ribera del Duero,2017,4.6,2208,Ribera del Duero,79.9,Ribera Del Duero Red,5.0,3.0,
169,Vega Sicilia,Valbuena 5o,2004,4.6,1608,Ribera del Duero,249.0,Ribera Del Duero Red,5.0,3.0,
170,Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Ribera del Duero,129.95,Ribera Del Duero Red,5.0,3.0,
171,Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019,4.6,1108,Ribera del Duero,76.95,Ribera Del Duero Red,5.0,3.0,
172,Vega Sicilia,Valbuena 5o,2000,4.6,1015,Ribera del Duero,252.0,Ribera Del Duero Red,5.0,3.0,
173,Vega Sicilia,Valbuena 5o,2002,4.6,936,Ribera del Duero,232.0,Ribera Del Duero Red,5.0,3.0,
174,Bodega Numanthia,Termanthia,2012,4.6,840,Toro,214.0,Toro Red,5.0,3.0,
175,Bodega Numanthia,Termanthia,2011,4.6,790,Toro,205.0,Toro Red,5.0,3.0,
176,Carmelo Rodero,Pago De Valtarrena,2015,4.6,700,Ribera del Duero,49.95,Ribera Del Duero Red,5.0,3.0,
177,Emilio Moro,Malleolus de Sanchomartin,2011,4.6,693,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0,
178,Vega Sicilia,Valbuena 5o,1999,4.6,595,Ribera del Duero,276.8,Ribera Del Duero Red,5.0,3.0,
179,Emilio Moro,Malleolus de Valderramiro,2015,4.6,516,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0,
180,Dominio de Pingus,Pingus,2010,4.6,410,Ribera del Duero,1359.75,Ribera Del Duero Red,5.0,3.0,
181,Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405,Ribera del Duero,81.5,Ribera Del Duero Red,5.0,3.0,
182,Dominio de Pingus,Pingus,2012,4.6,400,Ribera del Duero,890.0,Ribera Del Duero Red,5.0,3.0,
183,Dominio del Bendito,El Titan del Bendito,2015,4.6,388,Toro,43.5,Toro Red,5.0,3.0,
184,Emilio Moro,Malleolus de Sanchomartin,2015,4.6,369,Ribera del Duero,99.0,Ribera Del Duero Red,5.0,3.0,
185,Dominio de Pingus,Pingus,2013,4.6,323,Ribera del Duero,1198.72,Ribera Del Duero Red,5.0,3.0,
186,Bodegas Mauro,Terreus Paraje de Cueva Baja,2015,4.6,313,Castilla y Leon,94.95,Tempranillo,4.0,2.0,
187,Bodegas Mauro,Terreus Paraje de Cueva Baja,2016,4.6,304,Castilla y Leon,89.0,Tempranillo,4.0,2.0,
188,Dominio de Pingus,Pingus,2005,4.6,293,Ribera del Duero,1785.96,Ribera Del Duero Red,5.0,3.0,
189,Vinedos de Paganos,La Nieta,2017,4.6,286,Rioja,108.21,Rioja Red,4.0,3.0,
190,Artadi,Vina El Pison,2006,4.6,274,Vino de Espana,391.5,Tempranillo,4.0,2.0,
191,Dominio de Pingus,Pingus,1998,4.6,244,Ribera del Duero,1350.0,Ribera Del Duero Red,5.0,3.0,
192,Bodegas Roda,Cirsion Rioja,2007,4.6,242,Rioja,145.0,Rioja Red,4.0,3.0,
193,Bodegas Roda,Cirsion Rioja,2012,4.6,231,Rioja,173.38,Rioja Red,4.0,3.0,
194,Bodega Contador (Benjamin Romeo),Contador Rioja,2011,4.6,225,Rioja,220.0,Rioja Red,4.0,3.0,
195,Marques de Murrieta,Dalmau Rioja,2017,4.6,222,Rioja,85.7,Rioja Red,4.0,3.0,
196,Vega Sicilia,Unico,1965,4.6,218,Ribera del Duero,2884.04,Ribera Del Duero Red,5.0,3.0,
197,Sierra Cantabria,Finca el Bosque,2015,4.6,214,Rioja,79.9,Rioja Red,4.0,3.0,
198,Vina Sastre,Pago de Santa Cruz,2018,4.6,211,Ribera del Duero,68.7,Ribera Del Duero Red,5.0,3.0,
199,Dominio de Pingus,Pingus,2003,4.6,205,Ribera del Duero,1638.95,Ribera Del Duero Red,5.0,3.0,
200,Mas d'en Gil,Clos Fonta Priorat,2004,4.6,202,Priorato,150.0,Priorat Red,4.0,3.0,
201,Carmelo Rodero,Pago De Valtarrena,2016,4.6,200,Ribera del Duero,48.95,Ribera Del Duero Red,5.0,3.0,
202,Pago de Los Capellanes,Parcela El Picon Tinto,2014,4.6,197,Ribera del Duero,109.41,Ribera Del Duero Red,5.0,3.0,
203,Emilio Moro,Malleolus de Sanchomartin,2014,4.6,186,Ribera del Duero,119.0,Ribera Del Duero Red,5.0,3.0,
204,Vega Sicilia,Valbuena 5o,1992,4.6,176,Ribera del Duero,195.0,Ribera Del Duero Red,5.0,3.0,
205,Dominio de Pingus,Pingus,2014,4.6,172,Ribera del Duero,1595.0,Ribera Del Duero Red,5.0,3.0,
206,Artadi,Vina El Pison,2010,4.6,169,Vino de Espana,519.55,Tempranillo,4.0,2.0,
207,Pago de Los Capellanes,Parcela El Picon Tinto,2012,4.6,165,Ribera del Duero,89.0,Ribera Del Duero Red,5.0,3.0,
208,Artadi,Vina El Pison,2011,4.6,165,Vino de Espana,511.9,Tempranillo,4.0,2.0,
209,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1999,4.6,164,Priorato,980.0,Priorat Red,4.0,3.0,
210,Casa Castillo,Cuvee N Vinas Viejas,2015,4.6,160,Jumilla,73.0,Red,4.0,3.0,
211,Artadi,Vina El Pison,2012,4.6,159,Vino de Espana,280.0,Tempranillo,4.0,2.0,
212,Vega Sicilia,Unico,1973,4.6,157,Ribera del Duero,932.3,Ribera Del Duero Red,5.0,3.0,
213,Bodega Contador (Benjamin Romeo),Contador Rioja,2014,4.6,157,Rioja,251.99,Rioja Red,4.0,3.0,
214,Bodegas San Roman,Cartago Paraje de Pozo,2014,4.6,153,Toro,61.69,Toro Red,5.0,3.0,
215,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1996,4.6,150,Priorato,1372.14,Priorat Red,4.0,3.0,
216,Bodega Numanthia,Termanthia,2014,4.6,147,Toro,210.5,Toro Red,5.0,3.0,
217,Vega Sicilia,Valbuena 5o,1985,4.6,146,Ribera del Duero,285.0,Ribera Del Duero Red,5.0,3.0,
218,Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2001,4.6,145,Ribera del Duero,245.75,Ribera Del Duero Red,5.0,3.0,
219,Vega Sicilia,Valbuena 5o,1989,4.6,143,Ribera del Duero,228.57,Ribera Del Duero Red,5.0,3.0,
220,Bodega Contador (Benjamin Romeo),Contador Rioja,2015,4.6,143,Rioja,319.9,Rioja Red,4.0,3.0,
221,Artadi,Vina El Pison,2005,4.6,142,Vino de Espana,325.0,Tempranillo,4.0,2.0,
222,Nin-Ortiz,Nit de Nin Mas d'en Cacador,2011,4.6,139,Priorato,345.0,Priorat Red,4.0,3.0,
223,Bodegas Mauro,VS,2018,4.6,136,Castilla y Leon,58.9,Tempranillo,4.0,2.0,
224,Remirez de Ganuza,Maria Remirez de Ganuza,2005,4.6,136,Rioja,159.0,Rioja Red,4.0,3.0,
225,Vinas del Vero,Blecua Somontano,2013,4.6,135,Somontano,69.9,Red,4.0,3.0,
226,Vega Sicilia,Unico Reserva Especial Edicion,1989,4.6,133,Ribera del Duero,895.4,Ribera Del Duero Red,5.0,3.0,
227,Teso La Monja,Alabaster,2017,4.6,131,Toro,147.85,Toro Red,5.0,3.0,
228,Bodegas Mauro,Terreus Paraje de Cueva Baja,2018,4.6,128,Castilla y Leon,88.05,Tempranillo,4.0,2.0,
229,Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1997,4.6,127,Priorato,1080.0,Priorat Red,4.0,3.0,
